date,price,Open,High,Low
09/19/2021,2922.55,3435.92,3455.67,2659.71
09/26/2021,3388.97,2922.47,3467.95,2740.12
10/03/2021,3574.2,3388.83,3668.35,3273.22
10/10/2021,3827.55,3574.52,3967.43,3381.43
10/17/2021,4168.85,3827.55,4366.91,3664.63
10/24/2021,4320.65,4168.8,4458.3,3896.33
10/31/2021,4517.36,4322,4661.88,4157.51
11/07/2021,4644.61,4517.27,4864.06,4498.78
11/14/2021,4408.85,4644.4,4769.38,3958.44
11/21/2021,4094.8,4409.02,4549.74,3917.43
11/28/2021,4123.46,4095.16,4778.14,3533.02
12/05/2021,4075.66,4118.27,4482.89,3836.92
12/12/2021,3959.83,4078.17,4173.21,3649.69
12/19/2021,4093.14,3959.9,4149.17,3757.42
12/26/2021,3765.67,4093.38,4125.22,3589.64
01/02/2022,3080.02,3765.67,3889.07,3001.76
01/09/2022,3327.74,3079.89,3407.98,2931.68
01/16/2022,2412.52,3326.5,3388.22,2311.8
01/23/2022,2600.02,2412.52,2719.32,2161.55
01/30/2022,3013.81,2600.12,3058.88,2478.85
02/06/2022,2917.1,3013.75,3277.36,2858.85
02/13/2022,2763.81,2917.16,3193.18,2699.7
02/20/2022,2776.96,2763.97,2856.01,2303.07
02/27/2022,2665.42,2779.55,3041.84,2562.94
03/06/2022,2569.8,2665.42,2772.09,2447.74
03/13/2022,2949.92,2569.8,2984,2494.59
03/20/2022,3146.01,2950.03,3192.73,2819.27
03/27/2022,3442.34,3145.95,3529.63,3126.46
04/03/2022,3259.35,3442.34,3579.82,3143.96
04/10/2022,3058.96,3259.59,3306.14,2951.8
04/17/2022,2931.9,3058.96,3176.69,2887.25
04/24/2022,2727.18,2931.9,3032.7,2716.31
05/01/2022,2636.03,2727.2,2963.54,2589.29
05/08/2022,2056.3,2636.03,2641.84,1796.24
05/15/2022,1975.12,2056.33,2161.78,1903.67
05/22/2022,1792.68,1975.12,2086.21,1708.62
05/29/2022,1804.37,1792.25,2015.02,1740.83
06/05/2022,1531.42,1804.6,1919.4,1503.15
06/12/2022,995.61,1531.5,1542.01,883.35
06/19/2022,1241.76,995.49,1255.55,938.24
06/26/2022,1066.6,1241.8,1276.81,1000.77
07/03/2022,1216.94,1066.6,1275.69,1041.82
07/10/2022,1356.08,1216.94,1399.16,1012.29
07/17/2022,1549.61,1356,1644.99,1323.23
07/24/2022,1695.97,1549.61,1781.39,1357.7
07/31/2022,1690.27,1695.99,1752.94,1560.17
08/07/2022,1983.5,1690.29,2018.97,1657.78
08/14/2022,1575.6,1983.52,2028.4,1525.51
08/21/2022,1490.83,1575.61,1720.84,1449.31
08/28/2022,1557.55,1490.88,1647.5,1424.33
09/04/2022,1774.38,1557.35,1788.1,1493.19
09/11/2022,1468.79,1774.38,1786.73,1409.65
09/18/2022,1317,1468.76,1469.21,1222.29
09/25/2022,1311.8,1317.01,1399.67,1261.29
10/02/2022,1315.05,1311.8,1383.02,1266.86
10/09/2022,1274.57,1315.08,1342.01,1196.63
10/16/2022,1313.64,1274.93,1341.21,1257.83
10/23/2022,1619.69,1313.64,1660.13,1301.8
10/30/2022,1627.07,1619.67,1666.17,1503.29
11/06/2022,1256.29,1626.86,1637.44,1076.29
11/13/2022,1217.65,1256.29,1289.21,1175.42
11/20/2022,1205.15,1217.65,1229.2,1077.85
11/27/2022,1240.46,1205.17,1304.97,1151.98
12/04/2022,1266.62,1240.46,1303.92,1221.1
12/11/2022,1187.18,1266.36,1348.43,1156.91
12/18/2022,1220.46,1187.19,1229.47,1152.54
12/25/2022,1195.67,1220.46,1233.15,1184.22
01/01/2023,1263.9,1195.69,1274.85,1191.67
01/08/2023,1550.02,1263.91,1576.83,1259.15
01/15/2023,1625.53,1550.05,1678.27,1505.37
01/22/2023,1573.07,1626.66,1662.13,1523.71
01/29/2023,1666.9,1572.13,1710.27,1540.25
02/05/2023,1538.34,1666.9,1694.28,1499.49
02/12/2023,1691.62,1538.34,1738.87,1464.1
02/19/2023,1594.66,1691.62,1722.28,1562.1
02/26/2023,1566.73,1594.66,1677.45,1547.61
03/05/2023,1471.15,1566.73,1587.95,1371.47
03/12/2023,1758.7,1472.08,1833.82,1452.33
03/19/2023,1742.34,1758.7,1852.48,1711.05
03/26/2023,1820.78,1742.32,1845.54,1691.38
04/02/2023,1848.93,1820.78,1936.1,1764.26
04/09/2023,2090.59,1848.93,2127.56,1825.6
04/16/2023,1873.95,2090.59,2137.56,1831.47
04/23/2023,1907.8,1873.96,1963.46,1793.76
04/30/2023,1896.48,1907.8,2013.1,1807.3
